oclDeviceQuery, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 3.0 CUDA 11.3.101, SDK Revision = 7027912, NumDevs = 1, Device = NVIDIA GeForce RTX 2060 SUPER
oclDeviceQuery, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 3.0 CUDA 11.3.101, SDK Revision = 7027912, NumDevs = 1, Device = NVIDIA GeForce RTX 2060 SUPER
oclDeviceQuery, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 3.0 CUDA 11.3.101, SDK Revision = 7027912, NumDevs = 1, Device = NVIDIA GeForce RTX 2060 SUPER
