,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/power/8,/amdcpu/0/power/9,/amdcpu/0/temperature/1,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0,/hdd/4/temperature/0,/hdd/4/load/0,/hdd/5/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Tctl","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space","Used Space","Used Space","Temperature","Used Space","Used Space"
12/28/2021 08:04:27,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,12.5,15.625,35.15625,14.0625,14.0625,48.92578,67.42637,99.81808,8.768945,8.937001,9.89999,3.90608,3.969662,6.42934752,4.46556473,4.643751,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,51.02034,69.41438,11.0588951,4.87281036,64,1080,6801.00342,0,100,85,0,0,100,2095,8192,6328.73438,1863.26563,77.25506,94.674,37.109375,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:28,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,14.84375,12.5,29.6875,17.1875,12.5,48.3398438,66.81435,99.81808,8.371593,8.76026,9.769592,4.27743864,4.021921,6.344911,4.71344852,4.44089746,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,50.70006,69.5053,11.0733795,4.858326,64,1080,6801.00342,0,100,85,0,0,100,2103,8192,6327.172,1864.82813,77.2359848,94.6980057,33.203125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:29,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,14.0625,4.6875,25.78125,14.84375,10.15625,46.1914063,64.7833939,99.81808,8.448944,9.109592,9.386637,4.276028,3.025822,6.347365,4.32832146,3.99103665,94.25,84.25,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,48.91375,69.56616,11.0830765,4.848629,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.172,1864.82813,77.2359848,93.9750061,37.109375,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:30,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,20.3125,10.9375,32.8125,16.40625,17.1875,49.70703,65.97968,99.81808,8.404973,9.129853,9.687957,4.11180925,3.21092463,6.267826,4.41892052,4.31083775,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,49.5431,69.3541641,11.0493011,4.88240433,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.172,1864.82813,77.2359848,94.1870041,34.1796875,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:31,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,5.46875,9.375,34.375,12.5,7.8125,46.1914063,65.11122,99.81808,8.592005,9.08434,10.0074368,3.399747,3.30776763,6.40826845,4.383543,3.84272981,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,49.0258369,69.27829,11.0372124,4.894493,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6327.172,1864.82813,77.2359848,94.702,31.25,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:32,55.6862755,100,60,60,60,100,100,0.6,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,3.90625,5.46875,24.21875,17.1875,6.25,44.6289063,65.57482,99.81808,8.682158,8.965555,9.84087,3.65977478,3.47477031,6.12722826,4.709035,3.8285532,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,49.28794,69.28209,11.0378189,4.89388657,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6327.422,1864.57813,77.23904,93.4910049,35.15625,32.2265625,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:33,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,10.15625,7.03125,24.21875,16.40625,12.5,46.2890625,65.2305145,99.81808,8.503553,8.899836,9.86555,3.73134518,3.369075,6.279457,4.261703,4.338197,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,49.24872,69.24831,11.0324364,4.899269,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.547,1864.45313,77.24056,94.1560059,40.0390625,20.5078125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:34,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,10.15625,3.90625,25.78125,21.09375,8.59375,46.1914063,64.36263,99.81808,8.785101,9.051602,9.914278,3.373274,3.02271247,6.12557936,4.38090849,3.60566688,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,48.2591248,69.2644958,11.0350151,4.89669037,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6327.547,1864.45313,77.24056,94.5460052,27.34375,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:35,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,7.8125,6.25,21.875,10.15625,8.59375,44.3359375,64.13968,99.81808,8.705558,8.807046,9.812469,3.64541459,3.07319021,6.160436,4.206862,3.79787421,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,48.20885,69.24366,11.0316963,4.900009,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6327.547,1864.45313,77.24056,94.438,49.8046875,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
12/28/2021 08:04:36,55.6862755,100,60,60,60,100,100,0.576000035,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,5.46875,7.03125,27.34375,14.0625,7.03125,45.1171875,63.6938324,99.81808,8.696831,8.950672,9.808547,3.32896781,3.10295963,6.026392,4.4019084,3.52476931,94.25,84.25,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,47.8410454,69.2138748,11.0269508,4.90475464,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.547,1864.45313,77.24056,94.47201,32.2265625,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.1506,38.52541
