,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/power/8,/amdcpu/0/power/9,/amdcpu/0/temperature/1,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0,/hdd/4/temperature/0,/hdd/4/load/0,/hdd/5/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Tctl","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space","Used Space","Used Space","Temperature","Used Space","Used Space"
12/28/2021 08:04:37,55.6862755,100,60,60,60,100,100,0.6,1.71200013,3.40800023,3.36000013,1.76800013,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,10.15625,2.34375,21.875,17.1875,4.6875,44.53125,64.19643,99.81808,8.741566,8.92933,9.809733,3.5839076,2.97478342,6.16082764,4.28009272,3.60219812,94.25,84.25,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,48.0824432,69.24129,11.0313187,4.900387,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.547,1864.45313,77.24056,94.745,36.1328125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:38,55.6862755,100,60,60,60,100,100,0.576000035,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,21.09375,14.84375,29.6875,21.09375,15.625,50.29297,67.8068,99.81808,8.612871,8.82933,9.805157,4.75673342,4.28237,6.048183,4.84391451,4.583958,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3568.49634,3568.49634,3568.49634,3568.49634,51.76252,69.2476349,11.03233,4.899376,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.547,1864.45313,77.24056,94.619,28.3203125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:39,55.6862755,100,60,60,60,100,100,0.584000051,1.70400012,3.40800023,3.36000013,1.76000011,0.816000044,1.20800006,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,55.46875,48.4375,49.21875,53.125,46.875,69.140625,78.84589,99.81808,7.74498224,8.199804,9.522087,7.26427746,7.367735,7.72254467,7.263561,7.44826937,94.25,84.25,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,62.53326,69.599205,11.0883408,4.84336472,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6327.547,1864.45313,77.24056,94.33401,27.34375,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:40,55.6862755,100,60,60,60,100,100,0.60800004,1.70400012,3.40800023,3.344,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2631.57886,100,100,100,69.53125,67.1875,66.40625,66.40625,59.375,78.61328,82.97594,99.81808,7.3947444,7.83434439,9.157436,8.231792,8.526198,8.697516,8.308305,8.4991,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,66.64944,69.7903061,11.1187859,4.81291962,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6329.297,1862.70313,77.2619247,93.275,91.796875,18.5546875,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:41,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68,46,15.5,84,13,-21,2636.71875,100,100,100,50,44.6153831,41.53846,43.07692,37.6923065,64.61538,74.04249,99.81808,7.95636749,8.257778,8.998831,6.34793139,6.22207069,7.10289955,6.467274,6.281537,94.25,84.25,3518.58716,3518.58716,3518.58716,3518.58716,3518.58716,3518.58716,3518.58716,3518.58716,57.63469,69.826416,11.1245384,4.807167,64,1080,6801.00342,0,100,84,0,1,100,2103,8192,6328.672,1863.32813,77.2542953,94.3380051,50.78125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:42,55.6862755,100,60,60,60,100,100,0.568,1.70400012,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,32.5396843,21.4285736,31.7460289,22.2222214,15.0793667,52.8769836,69.347435,99.81808,7.911082,8.358172,9.445013,5.978732,4.901223,6.37030935,5.318151,4.98571539,94.25,84.25,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,53.2683945,69.80752,11.1215286,4.810177,64,1080,6801.00342,0,100,86,0,0,100,2095,8192,6328.672,1863.32813,77.2542953,94.5860062,37.109375,15.625,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:43,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76800013,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,13.8461533,13.1250019,27.7644215,5.396634,13.1490345,46.6601563,63.923996,99.81808,8.600855,8.78561,9.468556,3.49981427,3.18445587,6.16181326,4.07912,3.8571167,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,47.63734,69.7980347,11.120018,4.81168747,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6328.672,1863.32813,77.2542953,94.7680054,34.1796875,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:44,55.6862755,100,60,60,60,100,100,0.56,1.70400012,3.40800023,3.344,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,41.26984,26.8973236,30.0719261,25.2976189,20.5605145,55.5121536,70.4079361,99.81808,8.048502,8.381271,9.390511,6.31505632,5.40050554,6.565806,5.042504,5.119138,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,54.2632942,69.85256,11.1287041,4.8030014,64,1080,6801.00342,0,100,86,0,0,100,2103,8192,6328.672,1863.32813,77.2542953,94.0040054,36.1328125,14.6484375,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:45,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,12.5,9.375,22.65625,15.625,16.40625,47.0703125,64.7179947,99.81808,8.321674,8.830533,9.712383,3.89627266,3.4307723,5.96449566,4.38222456,4.011426,94.25,84.25,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,48.54978,69.79277,11.1191788,4.8125267,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6328.672,1863.32813,77.2542953,94.19401,33.203125,19.53125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:46,55.6862755,100,60,60,60,100,100,0.6,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,39.0625,26.5625,28.125,25.78125,25,55.5664063,71.19475,99.81808,8.053676,8.494142,9.362311,6.142275,5.393088,6.36890459,5.52261925,5.93738,94.25,84.25,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,55.2744,69.77838,11.1168861,4.81481934,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6328.672,1863.32813,77.2542953,94.73501,50.78125,24.4140625,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:47,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,12.5,13.28125,23.4375,20.3125,19.53125,48.6328125,67.1152039,99.81808,8.115937,8.811086,9.731181,4.16430759,3.944259,6.202983,5.152617,4.64413,94.25,84.25,3618.40527,3618.40527,3618.40527,3618.40527,3618.40527,3643.35986,3643.35986,3643.35986,50.7665024,69.5735855,11.084259,4.84744644,64,1080,6801.00342,0,100,85,0,0,100,2103,8192,6327.297,1864.70313,77.23751,94.6420059,35.15625,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:48,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,28.125,16.40625,25,25,12.5,50.8789063,66.56153,99.81808,8.177977,8.818577,9.340302,5.143341,3.704155,6.30800438,4.574032,4.26678658,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3643.35986,3643.35986,50.3331757,69.58788,11.0865364,4.845169,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.297,1864.70313,77.23751,94.43001,29.296875,14.6484375,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:49,55.6862755,100,60,60,60,100,100,0.584000051,1.70400012,3.40800023,3.344,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,39.84375,28.125,32.03125,29.6875,26.5625,57.03125,71.46491,99.81808,8.070934,8.562517,8.990747,6.33700371,5.45438576,6.67090225,5.70436049,5.4791007,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,55.26995,69.5329056,11.0777779,4.85392761,64,1080,6801.00342,0,100,85,0,0,100,2103,8192,6327.98438,1864.01563,77.2459,94.44,31.25,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:50,55.6862755,100,60,60,60,100,100,0.576000035,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,15.625,13.28125,32.03125,19.53125,17.1875,49.70703,65.97968,99.81808,8.23529,8.667204,9.581367,3.94933724,4.02250862,6.30539846,4.610065,4.3781867,94.25,84.25,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,49.74935,69.68287,11.1016693,4.830036,64,1080,6801.00342,0,100,84,0,0,100,2103,8192,6327.047,1864.95313,77.23446,94.41601,33.203125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:51,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.344,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,36.71875,17.96875,34.375,25.78125,27.34375,55.2734375,70.7274551,99.81808,8.049966,8.472211,9.458706,6.44380236,4.83196974,6.5711956,5.351056,5.37988853,94.25,84.25,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,54.5587921,69.6106,11.0901566,4.841549,64,1080,6801.00342,0,100,86,0,0,100,2095,8192,6327.047,1864.95313,77.23446,94.4350052,36.1328125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:52,55.6862755,100,60,60,60,100,100,0.576000035,1.70400012,3.40800023,3.36000013,1.76800013,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,15.625,8.59375,25.78125,17.1875,11.71875,47.36328,64.4357147,99.81808,8.502503,8.620839,9.528979,3.84434462,3.34719515,6.18149137,4.39579964,3.82450247,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,48.24565,69.68636,11.1022263,4.829479,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.047,1864.95313,77.23446,94.47401,32.2265625,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:53,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,38.28125,25.78125,28.125,24.21875,25.78125,55.2734375,71.70565,99.81808,8.173835,8.11382,9.723308,6.496234,5.297018,6.61784029,5.521981,5.62867165,94.25,84.25,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,55.57271,69.60048,11.0885429,4.84316254,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.047,1864.95313,77.23446,93.88801,37.109375,20.5078125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:54,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.344,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,29.6875,26.5625,34.375,29.6875,27.34375,55.95703,72.6077652,99.81808,8.3462,8.232718,9.439381,6.023962,5.748194,6.86837864,5.92631531,5.89988947,94.25,84.25,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,56.48504,69.68392,11.1018372,4.82986832,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.73438,1864.26563,77.24285,94.41701,36.1328125,23.4375,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:55,55.6862755,100,60,60,60,100,100,0.568,1.71200013,3.40800023,3.36000013,1.76800013,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,31.25,16.40625,35.15625,21.09375,24.21875,53.515625,68.5354156,99.81808,8.363563,8.605064,9.15096951,4.98055,4.59420633,6.55955648,5.099134,5.018316,94.25,84.25,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,52.371357,69.62114,11.091835,4.83987045,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.73438,1864.26563,77.24285,94.6030045,30.2734375,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:56,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,33.59375,19.53125,32.8125,24.21875,22.65625,54.1015625,70.04462,99.81808,8.052012,8.515152,9.447234,5.636905,4.887262,6.554105,5.47461462,5.08165836,94.25,84.25,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,53.64894,69.62885,11.0930634,4.838642,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.73438,1864.26563,77.24285,94.5890045,33.203125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:57,55.6862755,100,60,60,60,100,100,0.568,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,10.9375,7.8125,25.78125,17.1875,9.375,46.38672,64.47248,99.81808,8.420546,8.717986,9.612456,3.84323549,3.605657,5.834842,4.32452774,3.82709455,94.25,84.25,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,48.1863441,69.62555,11.0925369,4.83916855,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.297,1864.70313,77.23751,94.702,35.15625,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:58,55.6862755,100,60,60,60,100,100,0.616000056,1.70400012,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,39.84375,25.78125,29.6875,23.4375,26.5625,55.6640625,70.86587,99.81808,8.060031,8.441007,9.502472,6.09877634,5.316857,6.587992,5.143242,5.49670267,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,54.6470833,69.68485,11.1019859,4.82971954,64,1080,6801.00342,0,100,86,0,0,100,2099,8192,6327.297,1864.70313,77.23751,93.114006,32.2265625,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:04:59,55.6862755,100,60,60,60,100,100,0.568,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,29.6875,12.5,31.25,17.96875,19.53125,51.3671875,67.6539154,99.81808,8.109174,8.513871,9.245684,5.211089,4.277645,6.40915537,4.851683,4.73529959,94.25,84.25,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,3643.35986,51.3536034,69.6548538,11.0972061,4.83449936,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.297,1864.70313,77.23751,93.3660049,33.203125,17.578125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:00,55.6862755,100,60,60,60,100,100,0.592,1.71200013,3.40800023,3.36000013,1.76800013,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,9.375,7.8125,26.5625,11.71875,11.71875,45.8984375,64.45604,99.81808,8.475014,8.781743,9.651189,3.46885586,3.4878118,6.028833,4.1146245,4.359411,94.25,84.25,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,3593.45068,48.3674774,69.67142,11.0998459,4.83185959,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.297,1864.70313,77.23751,93.3920059,35.15625,20.5078125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:01,55.6862755,100,60,60,60,100,100,0.592,1.70400012,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,39.0625,21.875,32.8125,20.3125,26.5625,55.078125,71.43433,99.81808,7.94648266,8.633523,9.497373,6.271492,4.897151,6.35427761,5.5462265,5.81402159,94.25,84.25,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,54.96055,69.53882,11.07872,4.85298538,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6327.297,1864.70313,77.23751,93.246,36.1328125,20.5078125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:02,55.6862755,100,60,60,60,100,100,0.576000035,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,34.375,12.5,35.9375,21.09375,15.625,52.4414063,69.02269,99.81808,7.81918669,8.526457,9.584232,5.83514929,4.51332235,6.505199,4.918053,4.93135738,94.25,84.25,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3543.54175,3643.35986,3643.35986,52.6329575,69.57924,11.0851593,4.846546,64,1080,6801.00342,0,100,85,0,0,100,2103,8192,6327.297,1864.70313,77.23751,93.007,110.351563,27.34375,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:03,55.6862755,100,60,60,60,100,100,0.584000051,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,16.40625,16.40625,28.125,19.53125,11.71875,49.0234375,66.78091,99.81808,8.259615,8.634755,9.60265,4.290719,4.208194,5.99723339,4.676184,4.53269148,94.25,84.25,3668.31445,3668.31445,3668.31445,3668.31445,3643.35986,3643.35986,3643.35986,3643.35986,50.2020454,69.50724,11.0736885,4.858017,64,1080,6801.00342,0,100,84,0,1,100,2099,8192,6327.297,1864.70313,77.23751,93.035,630.8594,80.078125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:04,55.6862755,100,60,60,60,100,100,0.6,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,39.84375,24.21875,39.84375,28.125,23.4375,56.9335938,71.32915,99.81808,7.91520834,8.333504,9.524615,6.15450335,5.24396849,6.35504055,5.7223773,5.654553,94.25,84.25,3668.31445,3668.31445,3668.31445,3668.31445,3668.31445,3618.40527,3618.40527,3618.40527,54.90377,69.51698,11.0752411,4.85646439,64,1080,6801.00342,0,100,84,0,1,100,2099,8192,6327.297,1864.70313,77.23751,93.151,92.77344,22.4609375,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:05,55.6862755,100,60,60,60,100,100,0.568,1.71200013,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,39.0625,23.4375,37.5,28.90625,29.6875,57.32422,70.84223,99.81808,7.744636,8.272579,9.35941,5.647867,5.25049353,6.745574,5.710593,5.63532972,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3718.22339,54.3664856,69.3791656,11.0532837,4.878422,64,1080,6801.00342,0,100,84,0,0,100,2099,8192,6333.76563,1858.23438,77.3164749,92.69701,35.15625,28.3203125,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:06,55.6862755,100,60,60,60,100,100,0.584000051,1.70400012,3.40800023,3.36000013,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2631.57886,100,100,100,20.3125,10.15625,22.65625,18.75,14.0625,48.2421875,67.35451,99.81808,8.114706,8.668854,9.635493,4.79394627,4.12536526,6.24333763,4.827973,4.741726,94.25,84.25,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,3693.2688,51.1514,69.3553848,11.0494957,4.88221,64,1080,6801.00342,0,100,83,0,0,100,2099,8192,6326.76563,1865.23438,77.2310257,94.5320053,35.15625,15.625,99.99843,99.99999,99.99843,25.7352219,33,84.15086,38.52541
12/28/2021 08:05:07,55.6862755,100,60,60,60,100,100,0.576000035,1.71200013,3.40800023,3.344,1.76000011,0.816000044,1.2,3.40800023,0.8880001,0.15200001,0.624,1.08,1.03200006,1.784,68.5,46,15.5,84,13,-21,2636.71875,100,100,100,46.09375,23.4375,32.8125,27.34375,22.65625,56.54297,72.31967,99.81808,7.87780237,8.374996,9.427655,6.563677,5.497516,6.517271,5.93736124,5.709401,94.25,84.25,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,3568.49634,55.90568,69.37964,11.05336,4.87834549,64,1080,6801.00342,0,100,85,0,0,100,2099,8192,6319.89063,1872.10938,77.1471,94.568,47.8515625,14.6484375,99.99843,99.99999,99.99843,25.7352219,33,84.15055,38.52541
